userName,ruolo
trifone.daddabbo,initiator
claudio.castellano,initiator
fabrizio.valenza,initiator
giuseppe.tagarelli,initiator
marcello.raspa,initiator
federica.bondino,initiator
mikhail.iakimov,initiator
giacomo.saielli,initiator
lorenza.fiumi,initiator
alessandro.taloni,initiator
barbara.cortese,initiator
roberta.varriale,initiator
luciano.telesca,initiator
giuseppina.andreotti,initiator
elena.paoletti,initiator
elisabetta.preziosi,initiator
albertodilieto,initiator
alessandra.forni,initiator
katrin.schroeder,initiator
luigi.sorrentino,initiator
ivan.cibrariobertolotti,initiator
luciana.baldoni,initiator
luigi.tosi,initiator
antonio.franca,initiator
roberto.verucchi,initiator
frank.heins,initiator
bruno.zappone,initiator
francesco.paolocci,initiator
stefano.amalfitano,initiator
alina.polonia,initiator
marco.cuffaro,initiator
gianluca.accorsi,initiator
rada.novakovic,initiator
gianna.reginato,initiator
claudio.conti,initiator
giuseppe.parrella,initiator
aldo.nicosia,initiator
guido.toci,initiator
michele.iafisco,initiator
chiara.baldacchini,initiator
gianluca.gubbiotti,initiator
pietro.calandra,initiator
barbara.patrizi,initiator
stefano.pignattimoranodicustoza,initiator
maurizio.vurro,initiator
piero.toscano,initiator
manuelabozzi,initiator
raffaella.salvemini,initiator
