userName,ruolo
luciana.baldoni,initiator
stefania.siracusano,initiator
francamatilde.tecchio,initiator
andrea.trombettoni,initiator
ada.sacca,initiator
susanna.monti,initiator
andrea.frazzica,initiator
fabrizio.dabbene,initiator
donato.bini,initiator
valentina.colcelli,initiator
loredana.debartolo,initiator
giovanni.cantele,initiator
cinzia.giannini,initiator
vincenza.antonucci,initiator
angelo.digarbo,initiator
bennydanilo.belviso,initiator
roberto.flammini,initiator
theofanis.raptis,initiator
roberta.angelini,initiator
annaelisabetta.boccaccio,initiator
eva.bystrenova,initiator
marco.bonini,initiator
giovanni.roviello,initiator
fabrizio.gherardi,initiator
federica.blando,initiator
dritan.siliqi,initiator
lorenzo.ulivi,initiator
angela.tino,initiator
pierfrancesco.cerruti,initiator
loredana.debartolo,initiator
bennydanilo.belviso,initiator
lorenzo.ulivi,initiator
mauro.rossi,initiator
angelo.freni,initiator
patrick.fiorenza,initiator
stefania.depalo,initiator
alberto.figoli,initiator
fabio.rizzo,initiator
marco.ferraro,initiator
annanora.tassetti,initiator
andrea.farina,initiator
andrea.trombettoni,initiator
silvia.caponi,initiator
vincenzo.alterio,initiator
francesco.cordero,initiator
pietro.calandra,initiator
massimo.cuscuna,initiator
sabina.spiga,initiator
roberta.angelini,initiator
fabrizio.gherardi,initiator
paolo.villa,initiator
alessandra.forni,initiator
guido.toci,initiator
maurizio.vurro,initiator
sandra.donnici,initiator
diego.copetti,initiator
francescosaverio.marra,initiator
marinella.petrocchi,initiator
piero.toscano,initiator
stefania.siracusano,initiator
claudio.castellano,initiator
bruno.zappone,initiator
marco.cuffaro,initiator
katia.dambrosio,initiator
luciano.telesca,initiator
giuseppina.andreotti,initiator
luigi.tosi,initiator
roberto.verucchi,initiator
stefano.taiti,initiator
gianluca.accorsi,initiator
francesco.paolocci,initiator
davidriccardo.armando,initiator
stefano.pelli,initiator
claudia.conti,initiator
francamatilde.tecchio,initiator
eva.bystrenova,initiator
patrick.fiorenza,initiator
claudio.ferrari,initiator
stefano.ubaldini,initiator
trifone.daddabbo,initiator
fabrizio.valenza,initiator
erika.kozma,initiator
ivan.cibrariobertolotti,initiator
luciana.baldoni,initiator
marina.bufacchi,initiator
iacopo.carusotto,initiator
giuseppe.greco,initiator
cinzia.giannini,initiator
federica.blando,initiator
giuseppe.patane,initiator
ada.sacca,initiator
giacomo.saielli,initiator
saramaria.valsecchi,initiator
renato.buzio,initiator
michele.iafisco,initiator
francesco.petracchini,initiator
alessio.sapienza,initiator
giancarlo.colombo,initiator
mariateresa.artese,initiator
rada.novakovic,initiator
rocco.caliandro,initiator
biancaelena.maserti,initiator
giuseppe.tagarelli,initiator
mikhail.iakimov,initiator
giovanni.roviello,initiator
roberto.franzosi,initiator
lucia.alberti,initiator
chiara.baldacchini,initiator
barbara.patrizi,initiator
emanuela.noris,initiator
lorenza.fiumi,initiator
luciano.telesca,initiator
stefano.amalfitano,initiator
alina.polonia,initiator
lauragiuditta.ragona,initiator
corrada.geraci,initiator
maurizio.avella,initiator
francesco.gai,initiator
federica.bondino,initiator
angelo.bonanno,initiator
elisabetta.preziosi,initiator
katrin.schroeder,initiator
marcello.tagliavia,initiator
emma.piacentini,initiator
onofrio.marago,initiator
theofanis.raptis,initiator
laura.pucci,initiator
flavia.pizzi,initiator
angelantonio.minafra,initiator
federica.bondino,initiator
giovanni.ruggieri,initiator
marco.lazzarino,initiator
jacopo.chiggiato,initiator
fabiana.calo,initiator
salvatore.capasso,initiator
graziella.chinizittelli,initiator
marina.baldi,initiator
antonio.franca,initiator
dario.dicara,initiator
andrea.trombettoni,initiator
claudia.forte,initiator
alessandro.paciaroni,initiator
elisabetta.rocca,initiator
ferdinando.auricchio,initiator
manuela.bozzi,initiator
mauro.carraro,initiator
maurizio.ferrari,initiator
fabrizio.roccaforte,initiator
alessandro.stroppa,initiator
mariaisabel.noguesgonzalez,initiator
luigi.sorrentino,initiator
francesca.buscemi,initiator
gianfrancoemanuele.modoni,initiator
massimo.zacchini,initiator
francesca.ravera,initiator
lucia.calucci,initiator
giovanni.roviello,initiator
daniele.malfitana,initiator
claudia.soria,initiator
idamaria.fusco,initiator
giovanna.sannino,initiator
ferdinando.auricchio,initiator
andrea.gerbi,initiator
angelo.digarbo,initiator
chiara.botta,initiator
laura.fedele,initiator
giulio.cimini,initiator
alessandra.forni,initiator
alvise.benetazzo,initiator
loredana.debartolo,initiator
mauriliamaria.monti,initiator
alfonso.martone,initiator
simonamaria.monti,initiator
gianni.picchi,initiator
federico.spagnoli,initiator
lauravalentina.spinolo,initiator
giorgio.deluca,initiator
crescenzo.violante,initiator
angela.celetti,initiator
luigi.ambrosio,initiator
sante.laviola,initiator
paola.avallone,initiator
roberta.varriale,initiator
francesca.costabile,initiator
raffaellamaria.balestrini,initiator
renata.denaro,initiator
alessandro.ellero,initiator
pellegrino.musto,initiator
elianalanfranca.tassi,initiator
immacolata.caruso,initiator
mariella.baratti,initiator
alberto.zanelli,initiator
sara.remogna,initiator
anna.tonazzini,initiator
tilde.decaro,initiator
marcog.benvenuti,initiator
alessandra.ricelli,initiator
claudia.mattioni,initiator
annamaria.panniello,initiator
mariaantonietta.dettori,initiator
vittorianna.tasco,initiator
fulvio.pupilli,initiator
viviana.scognamiglio,initiator
francesco.capitelli,initiator
ezio.venturino,initiator
anna.moliterni,initiator
alfredo.ronca,initiator
lucia.alberti,initiator
francesca.colosi,initiator
simonetta.menchelli,initiator
raffaele.persico,initiator
francescosaverio.marra,initiator
luciano.telesca,initiator
alessio.sapienza,initiator
mauro.rossi,initiator
angelo.freni,initiator
stefania.maggi,initiator
emanuela.noris,initiator
